year,month,us_stock_return,us_stock_dividend,intl_stock_return,intl_stock_dividend,bond_return,bond_interest_rate,inflation,hysa_interest
1901,1,0.116274,0.0,0.100236,0.0,0.000989,0.042519,0.00427,0.028256
1901,2,-0.025923,0.0,3.3e-05,0.0,-0.00107,0.043701,-0.003045,0.027644
1901,3,0.015548,0.003241,0.039535,0.005067,0.009626,0.049894,0.002477,0.03803
1901,4,0.020107,0.0,0.064886,0.0,0.005975,0.034204,-0.002265,0.024326
1901,5,0.014676,0.0,0.015808,0.0,0.006001,0.040365,0.004019,0.028194
1901,6,-0.011884,0.003246,0.006224,0.005057,0.020099,0.049509,0.001708,0.026191
1901,7,-0.031731,0.0,-0.016307,0.0,0.002081,0.040002,-0.000842,0.03013
1901,8,0.006737,0.0,0.024211,0.0,0.000308,0.036949,0.007387,0.021223
1901,9,0.013881,0.003521,0.040461,0.006559,0.008993,0.049314,-0.000315,0.019331
1901,10,0.023441,0.0,0.078929,0.0,0.01171,0.041152,0.001059,0.028406
1901,11,0.006754,0.0,0.062925,0.0,-0.002839,0.036291,-0.000513,0.025936
1901,12,-0.047317,0.005482,-0.097358,0.006961,0.014172,0.045961,0.004481,0.019766
1902,1,-0.050701,0.0,-0.050313,0.0,0.005308,0.042429,0.001594,0.026962
1902,2,-0.026208,0.0,0.027914,0.0,0.014368,0.037309,0.003666,0.022157
1902,3,0.033672,0.003095,0.054419,0.005609,-0.006813,0.035666,-0.002932,0.028604
1902,4,0.072271,0.0,0.017119,0.0,-0.000509,0.033352,-0.001463,0.025207
1902,5,-0.022853,0.0,-0.012683,0.0,0.006311,0.041268,-1.2e-05,0.028246
1902,6,-0.035219,0.004902,0.000338,0.006162,-0.0025,0.038059,0.004439,0.028917
1902,7,0.031474,0.0,-0.026609,0.0,0.006016,0.040131,0.003694,0.016609
1902,8,-0.013299,0.0,0.054223,0.0,-0.002612,0.051515,0.002494,0.028645
1902,9,0.020225,0.004243,-0.03267,0.006864,0.004699,0.037109,0.00137,0.026185
1902,10,0.021114,0.0,0.035014,0.0,0.000384,0.043901,0.001565,0.023084
1902,11,0.021742,0.0,0.021107,0.0,-0.007916,0.051158,-0.000457,0.020143
1902,12,0.053348,0.004528,0.018428,0.006393,0.003341,0.038903,-0.001496,0.024772
1903,1,0.011745,0.0,0.045446,0.0,-0.01079,0.03046,-0.000744,0.023099
1903,2,-0.10148,0.0,-0.025359,0.0,0.01702,0.036866,0.002445,0.023045
1903,3,0.053201,0.004898,0.005349,0.006331,-0.005432,0.035272,0.001687,0.035148
1903,4,-0.044259,0.0,-0.079969,0.0,0.00493,0.031662,0.004005,0.028044
1903,5,-0.000232,0.0,0.074658,0.0,-0.002847,0.042484,0.000632,0.018822
1903,6,0.038165,0.003228,0.047368,0.005966,-0.013761,0.037924,0.002204,0.025268
1903,7,-0.00318,0.0,0.029655,0.0,0.004964,0.043478,0.00638,0.025768
1903,8,-0.022637,0.0,0.013023,0.0,0.006591,0.03731,0.004257,0.017252
1903,9,0.058396,0.003552,0.053255,0.006266,0.010323,0.042569,0.004472,0.020359
